uniqueidkey,name,namezusatz,description,lat,long,Str,Num,PLZ,Ort,Adresszusatz,Kreis,VG,Tel,Tel2,Mobil,Fax,Mail,Web,Kategorie,keywords
,Ev. Kita Regenbogenland Wirges,,,50.46740,7.78793,Martin-Luther-Straße,9,56422,Wirges,,Westerwaldkreis,VG Wirges,02602 60998,,,02602 60998,regenbogenland@kirche-wirges.de,https://regenbogenland-wirges.de/,Kinderbetreuung: Kita,
,Komm. Kita Staudt,,,50.46659,7.82603,Am Kramberg,11,56424,Staudt,,Westerwaldkreis,VG Wirges,02602 7281,,,,kita@staudt-gemeinde.de,http://kita-staudt.de/,Kinderbetreuung: Kita,
,Komm. Kita Vogelnest Heiligenroth,,,50.4494,7.86012,Schulstraße,1,56412,Heiligenroth,,Westerwaldkreis,VG Montabaur,02602 9509880,,,,kita@heiligenroth.de,,Kinderbetreuung: Kita,
,Komm. Kita Kunterbunt Holler,,,50.40647,7.83772,Rheinstraße,54,56412,Holler,,Westerwaldkreis,VG Montabaur,02602 5041,,,,kita@og-holler.de,,Kinderbetreuung: Kita,
,Komm. Kita Rappelkiste Niedererbach,,,50.42781,7.97573,Obererbacher Straße,2,56412,Niedererbach,,Westerwaldkreis,VG Montabaur,06485 4434,,,,kindergarten@niedererbach.de,,Kinderbetreuung: Kita,
,Komm. Kita Pusteblume Girod,,,50.45169,7.90618,Schulstraße,21,56412,Girod,,Westerwaldkreis,VG Montabaur,06485 4084,,,,kiga-girod@freenet.de,,Kinderbetreuung: Kita,
,Komm. Kita Hummelhaus Heilberscheid,,,50.40999,7.88924,Waldstraße,12,56412,Heilberscheid,,Westerwaldkreis,VG Montabaur,06485 710,,,,kiga-hummelhaus@web.de,,Kinderbetreuung: Kita,
,Integrative Kita St. Franziskus Wirges,,,50.46886,7.79515,Bergstraße,21,56422,Wirges,,Westerwaldkreis,VG Wirges,02602 60360,,,,andrea.trumm@cv-ww-rl.de,,Kinderbetreuung: Kita integrativ,
,Kath. Kita St. Laurentius Nentershausen,,,50.42116,7.93729,Am Hohlgraben,6,56412,Nentershausen,,Westerwaldkreis,VG Montabaur,06485 8422,,,,kiga-nentershausen@t-online.de,,Kinderbetreuung: Kita,
,Kath. Kita Regenbogen Görgeshausen,,,50.40964,7.95527,Rathausstraße,1,56412,Görgeshausen,,Westerwaldkreis,VG Montabaur,06485 8422,,,,kath.kita-regenbogen@t-online.de,,Kinderbetreuung: Kita,
,Kath. Kita St. Marien Ötzingen,,,50.50124,7.82987,Hauptstraße,16,56244,Ötzingen,,Westerwaldkreis,VG Wirges,02602 70619,,,,kita-oetzingen@t-online.de,,Kinderbetreuung: Kita,
,Kath. Kita Moschheim,,,50.48036,7.84013,Schulstraße,5,56424,Moschheim,,Westerwaldkreis,VG Wirges,02602 1064520,,,,kiga@moschheim.de,,Kinderbetreuung: Kita,
,Kath. Kita Herz Jesu Siershahn,,,50.48222,7.77842,Kirchstraße,11,56427,Siershahn,,Westerwaldkreis,VG Wirges,02623 9262709,,,,kita.herz-jesu.siershahn@t-online.de,,Kinderbetreuung: Kita,
,Kath. Kita St. Bonifatius Wirges,,,50.47226,7.8013,Doktor-Luschberger-Straße,26,56422,Wirges,,Westerwaldkreis,VG Wirges,02602 60566,,,,st-bonifatius@kita.st-bonifatius-wirges.de,,Kinderbetreuung: Kita,
,Kath. Kita St. Martin Helferskirchen,,,50.51332,7.81734,Schulstraße,6,56244,Helferskirchen,,Westerwaldkreis,VG Wirges,02626 5060,,,,stmartin-helferskirchen@kita.wirges.bistumlimburg.de,,Kinderbetreuung: Kita,
